Row Type,Campaign,Ad Group,Keyword,Match Type,Max CPC,Campaign Daily Budget,Campaign Status,Ad Group Status,Keyword Status,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Campaign Type,Network,Language,Location
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,emergency ac repair near me,Phrase,4.50,,,,Active,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,emergency furnace repair nj,Phrase,4.00,,,,Active,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,24 hour hvac repair nj,Phrase,4.00,,,,Active,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,ac not working emergency,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,hvac emergency service newark,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - Emergency HVAC Repair,Emergency HVAC NJ,same day hvac repair nj,Phrase,3.50,,,,Active,,,,,,,,,,
Ad,ME - Emergency HVAC Repair,Emergency HVAC NJ,,,,,,,,24/7 Emergency HVAC Repair,Same-Day Service Available,Licensed NJ HVAC Technicians,AC or furnace emergency? Licensed NJ technicians respond fast. Same-day repair service across 15 NJ counties.,Transparent pricing. No hidden fees. WMBE certified. Call (862) 419-1763 now for immediate help.,https://mechanicalenterprise.com/residential,,,,
Campaign,ME - HVAC Installation NJ,,,,,5.00,Paused,,,,,,,,,,Search,Search,English,New Jersey
Ad Group,ME - HVAC Installation NJ,HVAC Installation,,,,,,Active,,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,hvac installation nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,furnace replacement nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,central ac installation nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,new hvac system cost nj,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,hvac replacement newark nj,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,ductless mini split installation nj,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,hvac contractor essex county,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Installation NJ,HVAC Installation,best hvac company nj,Phrase,3.00,,,,Active,,,,,,,,,,
Ad,ME - HVAC Installation NJ,HVAC Installation,,,,,,,,HVAC Installation NJ,Up to $16K in Rebates Available,Free Assessment & Quote,Expert HVAC installation in New Jersey. Heat pumps, central AC, furnaces, and mini splits. Rebates up to $16K available.,20+ years experience. We handle permits and rebate paperwork. WMBE certified. (862) 419-1763.,https://mechanicalenterprise.com/rebate-calculator,,,,
Campaign,ME - Commercial HVAC NJ,,,,,5.00,Paused,,,,,,,,,,Search,Search,English,New Jersey
Ad Group,ME - Commercial HVAC NJ,Commercial HVAC,,,,,,Active,,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,commercial hvac nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,commercial hvac installation nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,vrf system installation nj,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,pseg commercial rebate hvac,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,commercial ac replacement nj,Phrase,3.50,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,commercial hvac contractor newark,Phrase,3.00,,,,Active,,,,,,,,,,
Keyword,ME - Commercial HVAC NJ,Commercial HVAC,vrv hvac system nj,Phrase,2.50,,,,Active,,,,,,,,,,
Ad,ME - Commercial HVAC NJ,Commercial HVAC,,,,,,,,Commercial HVAC Upgrade NJ,Up to 80% Covered by PSE&G,Free Assessment for Businesses,Upgrade your commercial HVAC with up to 80% covered by PSE&G rebates. VRF/VRV specialists serving hotels, offices, and retail.,2.6M sq ft served. WMBE certified. Licensed NJ contractor. Call (862) 419-1763 for free assessment.,https://mechanicalenterprise.com/commercial,,,,
Campaign,ME - HVAC Maintenance NJ,,,,,5.00,Paused,,,,,,,,,,Search,Search,English,New Jersey
Ad Group,ME - HVAC Maintenance NJ,HVAC Maintenance,,,,,,Active,,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,hvac maintenance plan nj,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,hvac tune up nj,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,ac maintenance near me,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,furnace tune up nj,Phrase,2.50,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,hvac service plan essex county,Phrase,2.00,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,hvac maintenance subscription,Phrase,2.00,,,,Active,,,,,,,,,,
Keyword,ME - HVAC Maintenance NJ,HVAC Maintenance,annual hvac inspection nj,Phrase,2.00,,,,Active,,,,,,,,,,
Ad,ME - HVAC Maintenance NJ,HVAC Maintenance,,,,,,,,HVAC Maintenance Plans NJ,First Month FREE,Priority Service & No Surprises,Stop paying for surprise HVAC repairs. Fixed monthly plans with priority service and licensed technicians. First month free.,Residential and commercial plans available. WMBE certified. Serving 15 NJ counties. (862) 419-1763.,https://mechanicalenterprise.com/maintenance,,,,
